(Thousands of Dollars),United States**,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi*,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Hospitals,"88,770,896","2,875,275","28,963","7,459","1,159,401","13,426,724","1,024,929","1,458,785","47,256","1,210,889","1,360,458","619,245","52,251","1,653,877","140,733","1,887,069","2,681,576","1,894,482","356,728","62,151","578,878","718,405","4,385,477","325,095","1,456,620","2,212,142","65,323","189,098","269,434","61,520","2,223,073","1,151,673","5,325,753","2,179,337","27,100","4,351,948","262,911","2,332,476","5,132,420","66,227","1,871,970","23,579","409,713","7,134,155","1,970,170","224,824","4,954,417","4,409,139","149,541","2,356,650","3,577"
Health,"61,727,972","551,627","229,041","583,978","245,899","7,503,590","573,255","1,041,145","410,368","3,957,991","1,488,125","550,157","151,848","1,989,331","571,486","275,215","397,821","500,808","421,737","147,468","2,190,864","1,484,458","1,640,230","515,239","423,381","1,988,453","206,589","306,760","296,213","97,799","1,454,264","398,368","8,999,160","1,265,088","375,497","2,459,852","1,037,585","1,011,517","3,428,716","186,540","1,264,559","165,103","738,464","2,991,203","335,385","163,781","1,498,307","1,957,734","298,684","562,177","395,112"
Highways,"129,304,623","1,659,619","1,143,967","2,217,232","1,743,755","10,825,735","1,990,230","1,694,567","832,628","8,747,688","2,969,100","439,255","704,780","6,762,593","2,465,799","2,304,141","1,239,281","1,996,782","1,493,443","692,905","2,556,791","3,140,883","3,012,998","2,789,319","1,455,496","1,391,549","610,663","824,452","1,000,032","528,633","3,126,092","651,714","5,870,948","4,490,147","970,114","4,044,349","2,168,570","1,195,771","8,159,034","320,743","2,068,516","664,095","1,641,757","10,039,223","1,211,388","437,888","4,837,855","2,429,486","1,148,911","3,844,589","749,117"
Police protection,"17,081,362","171,607","142,360","280,662","125,399","1,907,378","235,845","251,026","148,671","577,197","516,689","44,877","65,099","439,719","267,728","104,622","111,385","274,012","358,733","97,008","643,786","922,066","501,930","486,835","150,445","235,665","39,216","90,473","95,406","71,944","715,359","148,580","1,017,705","738,513","31,401","390,158","230,799","201,595","1,093,448","87,077","205,857","47,261","277,908","1,183,713","150,315","110,600","492,487","429,060","81,031","51,250","39,462"
Correction,"51,313,858","553,944","316,353","1,080,923","420,114","8,528,075","1,035,100","622,024","324,144","2,385,256","1,326,803","228,646","280,588","1,358,464","708,261","288,880","350,931","666,606","667,656","162,568","1,479,811","954,978","1,894,849","635,229","365,388","827,462","212,280","349,865","312,785","145,827","1,380,091","525,324","3,403,266","1,343,093","105,537","1,815,411","575,015","897,609","2,183,012","199,314","520,001","120,790","972,601","4,219,031","372,616","154,593","1,538,611","998,828","301,041","1,069,838","134,426"
Natural resources,"23,964,724","295,316","405,104","306,838","283,602","5,747,925","416,303","237,327","113,363","1,485,972","538,731","161,860","242,630","238,887","385,009","294,582","224,912","396,106","796,006","141,696","563,293","265,381","369,721","682,934","239,900","302,370","284,861","224,856","140,690","57,885","474,158","255,992","543,360","529,106","142,237","442,609","160,437","535,370","733,442","49,743","281,506","187,574","352,507","836,608","213,338","123,704","315,847","900,049","272,671","532,087","238,319"
Parks and recreation,"6,549,239","22,814","15,374","82,845","68,072","613,467","102,706","54,756","49,457","168,872","263,357","84,206","39,105","270,821","51,922","31,175","38,835","128,387","347,548","7,075","185,408","202,643","154,384","291,717","49,899","69,035","17,013","53,442","22,795","27,953","194,846","56,924","713,281","213,638","40,661","191,652","83,468","101,855","339,885","60,176","148,364","42,070","109,297","256,743","53,370","20,330","165,607","142,693","53,902","21,261","24,133"
Governmental administration,"61,505,684","645,732","665,074","799,733","627,664","8,662,176","984,755","1,520,386","503,657","2,478,109","927,268","595,200","393,557","1,442,772","812,627","598,565","474,356","1,188,743","954,369","436,373","1,495,436","2,703,081","1,083,566","1,141,228","410,454","569,498","436,856","295,374","444,316","304,005","1,747,069","531,362","5,691,307","1,636,775","204,538","2,149,592","716,346","1,753,189","2,633,479","406,932","630,300","203,930","966,453","2,367,314","999,727","222,304","2,068,946","1,106,616","483,631","1,001,273","389,671"
Interest on general debt,"43,945,665","389,784","198,252","633,568","152,101","6,899,122","712,314","1,539,729","185,956","916,442","592,853","113,918","141,616","3,493,429","890,680","206,574","180,129","645,169","814,670","168,027","1,196,674","2,963,852","1,548,062","570,370","237,943","772,652","108,825","58,245","138,456","318,874","2,202,843","390,966","4,084,149","582,733","80,220","1,316,926","330,852","353,289","1,501,902","448,794","355,443","108,560","255,740","1,304,988","236,315","101,073","1,114,484","1,490,072","206,560","653,454","38,016"
Other and unallocable,"137,549,076","1,517,576","1,385,771","2,401,611","926,850","11,343,181","1,780,321","2,156,775","676,642","6,929,714","1,502,628","1,960,436","615,475","10,762,205","3,154,070","1,125,391","480,994","1,261,788","2,406,620","672,884","3,208,624","6,790,685","3,913,937","3,263,434","1,443,966","1,555,110","509,720","859,163","1,808,179","890,034","5,165,208","2,469,145","16,704,042","2,020,020","1,170,085","3,920,313","706,012","2,508,553","4,377,292","555,084","3,146,888","455,986","1,816,565","5,685,234","692,693","289,825","2,898,770","1,754,751","1,014,523","1,184,757","1,709,546"
Utility expenditure,"29,491,699",75,"143,750","27,303",,"2,242,375","15,072","514,784","145,987","340,229","133,801",0,,0,"44,284",0,,"31,081","8,009","42,745","1,253,814","3,969,949",0,"471,723",,0,"15,492","7,793","44,202","14,669","3,082,835","1,171","13,207,462","152,246","80,565",,"1,057,236","33,123","1,760","172,688","1,616,644",,"1,409","3,655",0,"52,878","151,169","244,878","10,001","81,197","73,645"
Liquor stores expenditure,"6,718,065","321,268",,,,,,,,,,,"127,237",,,"212,932",,"5,862",,0,,,"872,771",,"292,430",,"83,148",,,"546,271",,,,,,"813,932",,"390,399","1,920,735",,,,,,"274,970","60,748","623,049",0,"75,689",,"96,624"
Insurance trust expenditure,"293,782,934","3,481,902","1,367,744","4,314,875","1,979,698","50,990,054","5,602,527","4,753,225","725,011","9,314,690","6,543,985","1,488,946","1,146,546","15,292,921","2,880,788","2,629,519","1,912,827","4,550,003","4,662,324","1,028,113","4,367,219","6,784,356","8,057,620","5,534,021","1,880,311","4,739,931","1,068,360","761,279","2,605,908","791,338","13,517,466","2,398,282","22,531,599","6,164,825","660,183","17,323,549","2,852,310","5,580,577","12,734,112","1,288,574","3,683,587","572,221","2,654,456","18,228,620","1,871,857","396,364","5,008,883","7,190,780","1,571,731","5,459,008","837,909"
Debt at end of fiscal year,"1,153,935,982","8,772,871","5,921,713","14,291,349","4,801,939","151,405,533","16,980,689","38,756,156","4,561,576","28,823,847","13,050,862","9,656,278","3,369,178","61,821,319","21,842,716","6,149,694","7,538,475","14,403,514","18,092,508","4,750,384","28,027,363","77,043,165","33,463,604","16,363,418","7,265,891","18,419,751","2,795,614","2,014,523","3,248,814","7,739,447","65,874,095","7,057,656","139,234,923","16,310,177","2,885,664","33,493,235","8,457,322","12,656,643","47,519,575","8,932,377","15,744,638","3,527,703","6,127,422","50,963,262","7,453,346","3,502,960","27,825,929","33,427,752","7,547,010","23,252,381","769,721"
Cash and security holdings,"4,477,541,530","46,184,255","82,980,365","62,715,526","35,053,849","720,855,259","73,633,548","48,089,603","12,510,776","224,703,818","101,104,433","24,623,403","25,117,950","155,112,477","51,894,819","44,122,139","24,066,258","41,000,955","62,499,521","19,481,257","51,861,857","105,140,487","90,783,251","75,597,031","30,755,023","73,595,342","19,403,925","20,996,903","42,075,637","15,216,579","115,574,492","56,374,732","392,826,808","122,119,403","28,614,819","224,628,316","45,207,967","92,476,825","118,258,436","15,786,466","44,116,844","17,051,254","64,259,479","338,343,392","36,227,909","6,455,448","103,445,108","112,997,143","21,745,373","112,614,203","27,240,867"
